    schemaname    |             tablename              |                            indexname                            |                                                                                                                                                                                                                indexdef                                                                                                                                                                                                                 
 blockchain       | blockchain_transactions            | idx_blockchain_transactions_status_created                      | CREATE INDEX idx_blockchain_transactions_status_created ON blockchain.blockchain_transactions USING btree (status, created_at)
 blockchain       | blockchain_transactions            | idx_blockchain_transactions_ticket_id                           | CREATE INDEX idx_blockchain_transactions_ticket_id ON blockchain.blockchain_transactions USING btree (ticket_id)
 blockchain       | blockchain_transactions            | idx_blockchain_transactions_to_wallet                           | CREATE INDEX idx_blockchain_transactions_to_wallet ON blockchain.blockchain_transactions USING btree (to_wallet)
 blockchain       | blockchain_transactions            | idx_blockchain_transactions_type                                | CREATE INDEX idx_blockchain_transactions_type ON blockchain.blockchain_transactions USING btree (type)
 blockchain       | gas_fee_tracking                   | gas_fee_tracking_pkey                                           | CREATE UNIQUE INDEX gas_fee_tracking_pkey ON blockchain.gas_fee_tracking USING btree (id)
 blockchain       | gas_fee_tracking                   | idx_gas_fee_tracking_analytics                                  | CREATE INDEX idx_gas_fee_tracking_analytics ON blockchain.gas_fee_tracking USING btree (created_at, total_fee_lamports, priority)
 blockchain       | gas_fee_tracking                   | idx_gas_fee_tracking_confirmation_time                          | CREATE INDEX idx_gas_fee_tracking_confirmation_time ON blockchain.gas_fee_tracking USING btree (confirmation_time_ms)
 blockchain       | gas_fee_tracking                   | idx_gas_fee_tracking_congestion                                 | CREATE INDEX idx_gas_fee_tracking_congestion ON blockchain.gas_fee_tracking USING btree (network_congestion_level)
 blockchain       | gas_fee_tracking                   | idx_gas_fee_tracking_created_at                                 | CREATE INDEX idx_gas_fee_tracking_created_at ON blockchain.gas_fee_tracking USING btree (created_at)
 blockchain       | gas_fee_tracking                   | idx_gas_fee_tracking_fee_payer                                  | CREATE INDEX idx_gas_fee_tracking_fee_payer ON blockchain.gas_fee_tracking USING btree (fee_payer_wallet)
 blockchain       | gas_fee_tracking                   | idx_gas_fee_tracking_priority                                   | CREATE INDEX idx_gas_fee_tracking_priority ON blockchain.gas_fee_tracking USING btree (priority)
 blockchain       | gas_fee_tracking                   | idx_gas_fee_tracking_reimbursable                               | CREATE INDEX idx_gas_fee_tracking_reimbursable ON blockchain.gas_fee_tracking USING btree (reimbursable, reimbursed) WHERE (reimbursable = true)
 blockchain       | gas_fee_tracking                   | idx_gas_fee_tracking_subsidized                                 | CREATE INDEX idx_gas_fee_tracking_subsidized ON blockchain.gas_fee_tracking USING btree (subsidized, subsidy_amount) WHERE (subsidized = true)
 blockchain       | gas_fee_tracking                   | idx_gas_fee_tracking_total_fee                                  | CREATE INDEX idx_gas_fee_tracking_total_fee ON blockchain.gas_fee_tracking USING btree (total_fee_lamports)
 blockchain       | gas_fee_tracking                   | idx_gas_fee_tracking_transaction_id                             | CREATE INDEX idx_gas_fee_tracking_transaction_id ON blockchain.gas_fee_tracking USING btree (transaction_id)
 blockchain       | nft_metadata                       | idx_nft_metadata_attributes_gin                                 | CREATE INDEX idx_nft_metadata_attributes_gin ON blockchain.nft_metadata USING gin (attributes)
 blockchain       | nft_metadata                       | idx_nft_metadata_cache_expires                                  | CREATE INDEX idx_nft_metadata_cache_expires ON blockchain.nft_metadata USING btree (cache_expires_at) WHERE (cache_expires_at IS NOT NULL)
 blockchain       | nft_metadata                       | idx_nft_metadata_collection                                     | CREATE INDEX idx_nft_metadata_collection ON blockchain.nft_metadata USING btree (collection_address) WHERE (collection_address IS NOT NULL)
 blockchain       | nft_metadata                       | idx_nft_metadata_compressed                                     | CREATE INDEX idx_nft_metadata_compressed ON blockchain.nft_metadata USING btree (tree_address, leaf_index) WHERE (is_compressed = true)
 blockchain       | nft_metadata                       | idx_nft_metadata_creators_gin                                   | CREATE INDEX idx_nft_metadata_creators_gin ON blockchain.nft_metadata USING gin (creators)
 blockchain       | nft_metadata                       | idx_nft_metadata_mint_address                                   | CREATE UNIQUE INDEX idx_nft_metadata_mint_address ON blockchain.nft_metadata USING btree (mint_address)
 blockchain       | nft_metadata                       | idx_nft_metadata_needs_sync                                     | CREATE INDEX idx_nft_metadata_needs_sync ON blockchain.nft_metadata USING btree (last_synced_at, sync_status) WHERE (((sync_status)::text = ANY ((ARRAY['PENDING'::character varying, 'FAILED'::character varying, 'OUTDATED'::character varying])::text[])) OR (force_refresh = true))
 blockchain       | nft_metadata                       | idx_nft_metadata_sync_status                                    | CREATE INDEX idx_nft_metadata_sync_status ON blockchain.nft_metadata USING btree (sync_status)
 blockchain       | nft_metadata                       | idx_nft_metadata_ticket_id                                      | CREATE INDEX idx_nft_metadata_ticket_id ON blockchain.nft_metadata USING btree (ticket_id)
 blockchain       | nft_metadata                       | idx_nft_metadata_tree_address                                   | CREATE INDEX idx_nft_metadata_tree_address ON blockchain.nft_metadata USING btree (tree_address) WHERE (tree_address IS NOT NULL)
 blockchain       | nft_metadata                       | nft_metadata_mint_address_key                                   | CREATE UNIQUE INDEX nft_metadata_mint_address_key ON blockchain.nft_metadata USING btree (mint_address)
 blockchain       | nft_metadata                       | nft_metadata_pkey                                               | CREATE UNIQUE INDEX nft_metadata_pkey ON blockchain.nft_metadata USING btree (id)
 blockchain       | nft_metadata                       | nft_metadata_ticket_id_key                                      | CREATE UNIQUE INDEX nft_metadata_ticket_id_key ON blockchain.nft_metadata USING btree (ticket_id)
 blockchain       | smart_contract_events              | idx_smart_contract_events_block_time                            | CREATE INDEX idx_smart_contract_events_block_time ON blockchain.smart_contract_events USING btree (block_time)
 blockchain       | smart_contract_events              | idx_smart_contract_events_category                              | CREATE INDEX idx_smart_contract_events_category ON blockchain.smart_contract_events USING btree (category)
 blockchain       | smart_contract_events              | idx_smart_contract_events_data_gin                              | CREATE INDEX idx_smart_contract_events_data_gin ON blockchain.smart_contract_events USING gin (event_data)
 blockchain       | smart_contract_events              | idx_smart_contract_events_event_id                              | CREATE INDEX idx_smart_contract_events_event_id ON blockchain.smart_contract_events USING btree (event_id) WHERE (event_id IS NOT NULL)
 blockchain       | smart_contract_events              | idx_smart_contract_events_event_type                            | CREATE INDEX idx_smart_contract_events_event_type ON blockchain.smart_contract_events USING btree (event_type)
 blockchain       | smart_contract_events              | idx_smart_contract_events_indexed_gin                           | CREATE INDEX idx_smart_contract_events_indexed_gin ON blockchain.smart_contract_events USING gin (indexed_fields)
 blockchain       | smart_contract_events              | idx_smart_contract_events_program_id                            | CREATE INDEX idx_smart_contract_events_program_id ON blockchain.smart_contract_events USING btree (program_id)
 blockchain       | smart_contract_events              | idx_smart_contract_events_ticket_id                             | CREATE INDEX idx_smart_contract_events_ticket_id ON blockchain.smart_contract_events USING btree (ticket_id) WHERE (ticket_id IS NOT NULL)
 blockchain       | smart_contract_events              | idx_smart_contract_events_transaction                           | CREATE INDEX idx_smart_contract_events_transaction ON blockchain.smart_contract_events USING btree (transaction_signature)
 blockchain       | smart_contract_events              | idx_smart_contract_events_type_processed                        | CREATE INDEX idx_smart_contract_events_type_processed ON blockchain.smart_contract_events USING btree (event_type, processed)
 blockchain       | smart_contract_events              | idx_smart_contract_events_unprocessed                           | CREATE INDEX idx_smart_contract_events_unprocessed ON blockchain.smart_contract_events USING btree (created_at, retry_count) WHERE (processed = false)
 blockchain       | smart_contract_events              | idx_smart_contract_events_venue_id                              | CREATE INDEX idx_smart_contract_events_venue_id ON blockchain.smart_contract_events USING btree (venue_id) WHERE (venue_id IS NOT NULL)
 blockchain       | smart_contract_events              | idx_smart_contract_events_wallet                                | CREATE INDEX idx_smart_contract_events_wallet ON blockchain.smart_contract_events USING btree (wallet_address) WHERE (wallet_address IS NOT NULL)
 blockchain       | smart_contract_events              | smart_contract_events_pkey                                      | CREATE UNIQUE INDEX smart_contract_events_pkey ON blockchain.smart_contract_events USING btree (id)
 blockchain       | wallet_addresses                   | idx_wallet_addresses_address                                    | CREATE INDEX idx_wallet_addresses_address ON blockchain.wallet_addresses USING btree (wallet_address)
 blockchain       | wallet_addresses                   | idx_wallet_addresses_blockchain                                 | CREATE INDEX idx_wallet_addresses_blockchain ON blockchain.wallet_addresses USING btree (blockchain)
 blockchain       | wallet_addresses                   | idx_wallet_addresses_blocked                                    | CREATE INDEX idx_wallet_addresses_blocked ON blockchain.wallet_addresses USING btree (is_blocked) WHERE (is_blocked = true)
 blockchain       | wallet_addresses                   | idx_wallet_addresses_last_used                                  | CREATE INDEX idx_wallet_addresses_last_used ON blockchain.wallet_addresses USING btree (last_used_at)
 blockchain       | wallet_addresses                   | idx_wallet_addresses_one_primary                                | CREATE UNIQUE INDEX idx_wallet_addresses_one_primary ON blockchain.wallet_addresses USING btree (user_id, blockchain) WHERE (is_primary = true)
 blockchain       | wallet_addresses                   | idx_wallet_addresses_primary                                    | CREATE INDEX idx_wallet_addresses_primary ON blockchain.wallet_addresses USING btree (user_id, is_primary) WHERE (is_primary = true)
 blockchain       | wallet_addresses                   | idx_wallet_addresses_risk                                       | CREATE INDEX idx_wallet_addresses_risk ON blockchain.wallet_addresses USING btree (risk_score) WHERE (risk_score > 50)
 blockchain       | wallet_addresses                   | idx_wallet_addresses_user_id                                    | CREATE INDEX idx_wallet_addresses_user_id ON blockchain.wallet_addresses USING btree (user_id)
 blockchain       | wallet_addresses                   | idx_wallet_addresses_verified                                   | CREATE INDEX idx_wallet_addresses_verified ON blockchain.wallet_addresses USING btree (is_verified) WHERE (is_verified = true)
 blockchain       | wallet_addresses                   | unique_wallet_blockchain                                        | CREATE UNIQUE INDEX unique_wallet_blockchain ON blockchain.wallet_addresses USING btree (wallet_address, blockchain)
 blockchain       | wallet_addresses                   | wallet_addresses_pkey                                           | CREATE UNIQUE INDEX wallet_addresses_pkey ON blockchain.wallet_addresses USING btree (id)
 cache_test       | products                           | products_pkey                                                   | CREATE UNIQUE INDEX products_pkey ON cache_test.products USING btree (id)
 compliance       | aml_checks                         | aml_checks_pkey                                                 | CREATE UNIQUE INDEX aml_checks_pkey ON compliance.aml_checks USING btree (id)
 compliance       | aml_checks                         | idx_aml_checks_check_status                                     | CREATE INDEX idx_aml_checks_check_status ON compliance.aml_checks USING btree (check_status)
 compliance       | aml_checks                         | idx_aml_checks_created_at                                       | CREATE INDEX idx_aml_checks_created_at ON compliance.aml_checks USING btree (created_at DESC)
 compliance       | aml_checks                         | idx_aml_checks_customer_profile_id                              | CREATE INDEX idx_aml_checks_customer_profile_id ON compliance.aml_checks USING btree (customer_profile_id)
 compliance       | aml_checks                         | idx_aml_checks_event_id                                         | CREATE INDEX idx_aml_checks_event_id ON compliance.aml_checks USING btree (event_id) WHERE (event_id IS NOT NULL)
 compliance       | aml_checks                         | idx_aml_checks_flagged                                          | CREATE INDEX idx_aml_checks_flagged ON compliance.aml_checks USING btree (customer_profile_id, created_at DESC) WHERE ((check_status)::text = ANY ((ARRAY['flagged'::character varying, 'escalated'::character varying])::text[]))
 compliance       | aml_checks                         | idx_aml_checks_high_risk                                        | CREATE INDEX idx_aml_checks_high_risk ON compliance.aml_checks USING btree (risk_score DESC, check_status) WHERE (risk_score >= 70)
 compliance       | aml_checks                         | idx_aml_checks_investigation                                    | CREATE INDEX idx_aml_checks_investigation ON compliance.aml_checks USING btree (investigation_status, investigator_id) WHERE (investigation_status IS NOT NULL)
 compliance       | aml_checks                         | idx_aml_checks_last_reviewed                                    | CREATE INDEX idx_aml_checks_last_reviewed ON compliance.aml_checks USING btree (last_reviewed_at DESC) WHERE (last_reviewed_at IS NOT NULL)
 compliance       | aml_checks                         | idx_aml_checks_risk_level                                       | CREATE INDEX idx_aml_checks_risk_level ON compliance.aml_checks USING btree (risk_level)
 compliance       | aml_checks                         | idx_aml_checks_risk_score                                       | CREATE INDEX idx_aml_checks_risk_score ON compliance.aml_checks USING btree (risk_score DESC)
 compliance       | aml_checks                         | idx_aml_checks_rule_scores                                      | CREATE INDEX idx_aml_checks_rule_scores ON compliance.aml_checks USING gin (rule_scores)
 compliance       | aml_checks                         | idx_aml_checks_sar_filed                                        | CREATE INDEX idx_aml_checks_sar_filed ON compliance.aml_checks USING btree (sar_filed, created_at DESC) WHERE (sar_filed = true)
 compliance       | aml_checks                         | idx_aml_checks_tenant_created                                   | CREATE INDEX idx_aml_checks_tenant_created ON compliance.aml_checks USING btree (tenant_id, created_at) WHERE (tenant_id IS NOT NULL)
 compliance       | aml_checks                         | idx_aml_checks_tenant_id                                        | CREATE INDEX idx_aml_checks_tenant_id ON compliance.aml_checks USING btree (tenant_id) WHERE (tenant_id IS NOT NULL)
 compliance       | aml_checks                         | idx_aml_checks_transaction_id                                   | CREATE INDEX idx_aml_checks_transaction_id ON compliance.aml_checks USING btree (transaction_id) WHERE (transaction_id IS NOT NULL)
 compliance       | compliance_inspections             | compliance_inspections_pkey                                     | CREATE UNIQUE INDEX compliance_inspections_pkey ON compliance.compliance_inspections USING btree (id)
 compliance       | compliance_inspections             | idx_compliance_inspections_compliance_id                        | CREATE INDEX idx_compliance_inspections_compliance_id ON compliance.compliance_inspections USING btree (compliance_id) WHERE (compliance_id IS NOT NULL)
 compliance       | compliance_inspections             | idx_compliance_inspections_date                                 | CREATE INDEX idx_compliance_inspections_date ON compliance.compliance_inspections USING btree (inspection_date)
 compliance       | compliance_inspections             | idx_compliance_inspections_followup                             | CREATE INDEX idx_compliance_inspections_followup ON compliance.compliance_inspections USING btree (follow_up_date) WHERE (follow_up_inspection_required = true)
 compliance       | compliance_inspections             | idx_compliance_inspections_result                               | CREATE INDEX idx_compliance_inspections_result ON compliance.compliance_inspections USING btree (overall_result)
 compliance       | compliance_inspections             | idx_compliance_inspections_venue_id                             | CREATE INDEX idx_compliance_inspections_venue_id ON compliance.compliance_inspections USING btree (venue_id)
 compliance       | compliance_inspections             | idx_compliance_inspections_violations                           | CREATE INDEX idx_compliance_inspections_violations ON compliance.compliance_inspections USING btree (violations_found) WHERE (violations_found > 0)
 compliance       | compliance_reminders               | compliance_reminders_pkey                                       | CREATE UNIQUE INDEX compliance_reminders_pkey ON compliance.compliance_reminders USING btree (id)
 compliance       | compliance_reminders               | idx_compliance_reminders_compliance_id                          | CREATE INDEX idx_compliance_reminders_compliance_id ON compliance.compliance_reminders USING btree (compliance_id)
 compliance       | compliance_reminders               | idx_compliance_reminders_date                                   | CREATE INDEX idx_compliance_reminders_date ON compliance.compliance_reminders USING btree (reminder_date)
 compliance       | compliance_reminders               | idx_compliance_reminders_pending                                | CREATE INDEX idx_compliance_reminders_pending ON compliance.compliance_reminders USING btree (is_sent, reminder_date) WHERE (is_sent = false)
 compliance       | compliance_reminders               | idx_compliance_reminders_venue_id                               | CREATE INDEX idx_compliance_reminders_venue_id ON compliance.compliance_reminders USING btree (venue_id)
 compliance       | compliance_reports                 | compliance_reports_pkey                                         | CREATE UNIQUE INDEX compliance_reports_pkey ON compliance.compliance_reports USING btree (id)
 compliance       | compliance_reports                 | compliance_reports_report_number_key                            | CREATE UNIQUE INDEX compliance_reports_report_number_key ON compliance.compliance_reports USING btree (report_number)
 compliance       | compliance_reports                 | idx_compliance_reports_amendments                               | CREATE INDEX idx_compliance_reports_amendments ON compliance.compliance_reports USING btree (original_report_id) WHERE (is_amendment = true)
 compliance       | compliance_reports                 | idx_compliance_reports_created_at                               | CREATE INDEX idx_compliance_reports_created_at ON compliance.compliance_reports USING btree (created_at DESC)
 compliance       | compliance_reports                 | idx_compliance_reports_destruction                              | CREATE INDEX idx_compliance_reports_destruction ON compliance.compliance_reports USING btree (destruction_date) WHERE ((destruction_date IS NOT NULL) AND (archived = false))
 compliance       | compliance_reports                 | idx_compliance_reports_due_date                                 | CREATE INDEX idx_compliance_reports_due_date ON compliance.compliance_reports USING btree (due_date)
 compliance       | compliance_reports                 | idx_compliance_reports_findings                                 | CREATE INDEX idx_compliance_reports_findings ON compliance.compliance_reports USING gin (findings_details)
 compliance       | compliance_reports                 | idx_compliance_reports_pending                                  | CREATE INDEX idx_compliance_reports_pending ON compliance.compliance_reports USING btree (due_date, status) WHERE ((status)::text = ANY ((ARRAY['draft'::character varying, 'pending_review'::character varying, 'approved'::character varying])::text[]))
 compliance       | compliance_reports                 | idx_compliance_reports_period                                   | CREATE INDEX idx_compliance_reports_period ON compliance.compliance_reports USING btree (period_start, period_end)
 compliance       | compliance_reports                 | idx_compliance_reports_regulator                                | CREATE INDEX idx_compliance_reports_regulator ON compliance.compliance_reports USING btree (regulator)
 compliance       | compliance_reports                 | idx_compliance_reports_report_data                              | CREATE INDEX idx_compliance_reports_report_data ON compliance.compliance_reports USING gin (report_data)
 compliance       | compliance_reports                 | idx_compliance_reports_report_type                              | CREATE INDEX idx_compliance_reports_report_type ON compliance.compliance_reports USING btree (report_type)
 compliance       | compliance_reports                 | idx_compliance_reports_status                                   | CREATE INDEX idx_compliance_reports_status ON compliance.compliance_reports USING btree (status)
 compliance       | compliance_reports                 | idx_compliance_reports_submitted_at                             | CREATE INDEX idx_compliance_reports_submitted_at ON compliance.compliance_reports USING btree (submitted_at DESC) WHERE (submitted_at IS NOT NULL)
 compliance       | compliance_reports                 | idx_compliance_reports_tenant_created                           | CREATE INDEX idx_compliance_reports_tenant_created ON compliance.compliance_reports USING btree (tenant_id, created_at) WHERE (tenant_id IS NOT NULL)
 compliance       | compliance_reports                 | idx_compliance_reports_tenant_id                                | CREATE INDEX idx_compliance_reports_tenant_id ON compliance.compliance_reports USING btree (tenant_id) WHERE (tenant_id IS NOT NULL)
 compliance       | compliance_reports                 | idx_compliance_reports_updated_at                               | CREATE INDEX idx_compliance_reports_updated_at ON compliance.compliance_reports USING btree (updated_at DESC)
 compliance       | compliance_violations              | compliance_violations_pkey                                      | CREATE UNIQUE INDEX compliance_violations_pkey ON compliance.compliance_violations USING btree (id)
 compliance       | compliance_violations              | idx_compliance_violations_compliance_id                         | CREATE INDEX idx_compliance_violations_compliance_id ON compliance.compliance_violations USING btree (compliance_id) WHERE (compliance_id IS NOT NULL)
 compliance       | compliance_violations              | idx_compliance_violations_date                                  | CREATE INDEX idx_compliance_violations_date ON compliance.compliance_violations USING btree (violation_date)
 compliance       | compliance_violations              | idx_compliance_violations_deadline                              | CREATE INDEX idx_compliance_violations_deadline ON compliance.compliance_violations USING btree (remediation_deadline) WHERE (remediation_deadline IS NOT NULL)
 compliance       | compliance_violations              | idx_compliance_violations_open                                  | CREATE INDEX idx_compliance_violations_open ON compliance.compliance_violations USING btree (venue_id, violation_status) WHERE (violation_status = 'open'::violation_status)
 compliance       | compliance_violations              | idx_compliance_violations_severity                              | CREATE INDEX idx_compliance_violations_severity ON compliance.compliance_violations USING btree (severity)
 compliance       | compliance_violations              | idx_compliance_violations_status                                | CREATE INDEX idx_compliance_violations_status ON compliance.compliance_violations USING btree (violation_status)
 compliance       | compliance_violations              | idx_compliance_violations_venue_id                              | CREATE INDEX idx_compliance_violations_venue_id ON compliance.compliance_violations USING btree (venue_id)
 compliance       | data_retention                     | data_retention_pkey                                             | CREATE UNIQUE INDEX data_retention_pkey ON compliance.data_retention USING btree (id)
 compliance       | data_retention                     | data_retention_policy_name_key                                  | CREATE UNIQUE INDEX data_retention_policy_name_key ON compliance.data_retention USING btree (policy_name)
 compliance       | data_retention                     | idx_data_retention_active                                       | CREATE INDEX idx_data_retention_active ON compliance.data_retention USING btree (is_active, policy_type) WHERE (is_active = true)
 compliance       | data_retention                     | idx_data_retention_anonymization                                | CREATE INDEX idx_data_retention_anonymization ON compliance.data_retention USING gin (anonymization_rules)
 compliance       | data_retention                     | idx_data_retention_compliance                                   | CREATE INDEX idx_data_retention_compliance ON compliance.data_retention USING btree (compliance_status, last_compliance_check)
 compliance       | data_retention                     | idx_data_retention_created_at                                   | CREATE INDEX idx_data_retention_created_at ON compliance.data_retention USING btree (created_at DESC)
 compliance       | data_retention                     | idx_data_retention_data_category                                | CREATE INDEX idx_data_retention_data_category ON compliance.data_retention USING btree (data_category)
 compliance       | data_retention                     | idx_data_retention_data_type                                    | CREATE INDEX idx_data_retention_data_type ON compliance.data_retention USING btree (data_type)
 compliance       | data_retention                     | idx_data_retention_exceptions                                   | CREATE INDEX idx_data_retention_exceptions ON compliance.data_retention USING gin (exception_criteria)
 compliance       | data_retention                     | idx_data_retention_legal_hold                                   | CREATE INDEX idx_data_retention_legal_hold ON compliance.data_retention USING btree (legal_hold) WHERE (legal_hold = true)
 compliance       | data_retention                     | idx_data_retention_next_purge                                   | CREATE INDEX idx_data_retention_next_purge ON compliance.data_retention USING btree (next_purge_date) WHERE ((next_purge_date IS NOT NULL) AND (is_active = true))
 compliance       | data_retention                     | idx_data_retention_policy_name                                  | CREATE INDEX idx_data_retention_policy_name ON compliance.data_retention USING btree (policy_name)
 compliance       | data_retention                     | idx_data_retention_tables                                       | CREATE INDEX idx_data_retention_tables ON compliance.data_retention USING gin (table_names)
 compliance       | data_retention                     | idx_data_retention_tenant_created                               | CREATE INDEX idx_data_retention_tenant_created ON compliance.data_retention USING btree (tenant_id, created_at) WHERE (tenant_id IS NOT NULL)
 compliance       | data_retention                     | idx_data_retention_tenant_id                                    | CREATE INDEX idx_data_retention_tenant_id ON compliance.data_retention USING btree (tenant_id) WHERE (tenant_id IS NOT NULL)
 compliance       | data_retention                     | idx_data_retention_updated_at                                   | CREATE INDEX idx_data_retention_updated_at ON compliance.data_retention USING btree (updated_at DESC)
 compliance       | fraud_prevention_rules             | fraud_prevention_rules_pkey                                     | CREATE UNIQUE INDEX fraud_prevention_rules_pkey ON compliance.fraud_prevention_rules USING btree (id)
 compliance       | fraud_prevention_rules             | fraud_prevention_rules_rule_name_key                            | CREATE UNIQUE INDEX fraud_prevention_rules_rule_name_key ON compliance.fraud_prevention_rules USING btree (rule_name)
 compliance       | fraud_prevention_rules             | idx_fraud_prevention_rules_tenant_id                            | CREATE INDEX idx_fraud_prevention_rules_tenant_id ON compliance.fraud_prevention_rules USING btree (tenant_id)
 compliance       | kyc_records                        | idx_kyc_records_customer_profile_id                             | CREATE INDEX idx_kyc_records_customer_profile_id ON compliance.kyc_records USING btree (customer_profile_id)
 compliance       | kyc_records                        | idx_kyc_records_deletion_scheduled                              | CREATE INDEX idx_kyc_records_deletion_scheduled ON compliance.kyc_records USING btree (deletion_scheduled_at) WHERE (deletion_scheduled_at IS NOT NULL)
 compliance       | kyc_records                        | idx_kyc_records_expires_at                                      | CREATE INDEX idx_kyc_records_expires_at ON compliance.kyc_records USING btree (expires_at) WHERE (expires_at IS NOT NULL)
 compliance       | kyc_records                        | idx_kyc_records_manual_review                                   | CREATE INDEX idx_kyc_records_manual_review ON compliance.kyc_records USING btree (requires_manual_review) WHERE (requires_manual_review = true)
 compliance       | kyc_records                        | idx_kyc_records_provider                                        | CREATE INDEX idx_kyc_records_provider ON compliance.kyc_records USING btree (kyc_provider, provider_reference_id)
 compliance       | kyc_records                        | idx_kyc_records_regulatory_flags                                | CREATE INDEX idx_kyc_records_regulatory_flags ON compliance.kyc_records USING gin (regulatory_flags)
 compliance       | kyc_records                        | idx_kyc_records_risk_factors                                    | CREATE INDEX idx_kyc_records_risk_factors ON compliance.kyc_records USING gin (risk_factors)
 compliance       | kyc_records                        | idx_kyc_records_risk_score                                      | CREATE INDEX idx_kyc_records_risk_score ON compliance.kyc_records USING btree (risk_score) WHERE (risk_score > 50)
 compliance       | kyc_records                        | idx_kyc_records_submitted_at                                    | CREATE INDEX idx_kyc_records_submitted_at ON compliance.kyc_records USING btree (submitted_at DESC)
 compliance       | kyc_records                        | idx_kyc_records_tenant_created                                  | CREATE INDEX idx_kyc_records_tenant_created ON compliance.kyc_records USING btree (tenant_id, created_at) WHERE (tenant_id IS NOT NULL)
 compliance       | kyc_records                        | idx_kyc_records_tenant_id                                       | CREATE INDEX idx_kyc_records_tenant_id ON compliance.kyc_records USING btree (tenant_id) WHERE (tenant_id IS NOT NULL)
 compliance       | kyc_records                        | idx_kyc_records_verification_level                              | CREATE INDEX idx_kyc_records_verification_level ON compliance.kyc_records USING btree (verification_level)
 compliance       | kyc_records                        | idx_kyc_records_verification_status                             | CREATE INDEX idx_kyc_records_verification_status ON compliance.kyc_records USING btree (verification_status)
 compliance       | kyc_records                        | kyc_records_pkey                                                | CREATE UNIQUE INDEX kyc_records_pkey ON compliance.kyc_records USING btree (id)
 compliance       | sanctions_screening                | idx_sanctions_screening_created_at                              | CREATE INDEX idx_sanctions_screening_created_at ON compliance.sanctions_screening USING btree (created_at DESC)
 compliance       | sanctions_screening                | idx_sanctions_screening_customer_profile_id                     | CREATE INDEX idx_sanctions_screening_customer_profile_id ON compliance.sanctions_screening USING btree (customer_profile_id)
 compliance       | sanctions_screening                | idx_sanctions_screening_edd_required                            | CREATE INDEX idx_sanctions_screening_edd_required ON compliance.sanctions_screening USING btree (requires_enhanced_due_diligence) WHERE (requires_enhanced_due_diligence = true)
 compliance       | sanctions_screening                | idx_sanctions_screening_false_positives                         | CREATE INDEX idx_sanctions_screening_false_positives ON compliance.sanctions_screening USING btree (customer_profile_id, is_false_positive) WHERE (is_false_positive = true)
 compliance       | sanctions_screening                | idx_sanctions_screening_last_checked                            | CREATE INDEX idx_sanctions_screening_last_checked ON compliance.sanctions_screening USING btree (last_checked_at DESC)
